antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedents_length,consequents_length
frozenset({'I5033'}),frozenset({'5A09357'}),0.04844961240310078,0.01937984496124031,0.007751937984496124,0.15999999999999998,8.255999999999998,0.006812992007691846,1.1674049464747138,1,1
frozenset({'5A09357'}),frozenset({'I5033'}),0.01937984496124031,0.04844961240310078,0.007751937984496124,0.4,8.256,0.006812992007691846,1.5859173126614987,1,1
frozenset({'5A1D70Z'}),frozenset({'I132'}),0.013565891472868217,0.060077519379844964,0.011627906976744186,0.8571428571428571,14.267281105990781,0.010812901868878072,6.579457364341083,1,1
frozenset({'I132'}),frozenset({'5A1D70Z'}),0.060077519379844964,0.013565891472868217,0.011627906976744186,0.1935483870967742,14.267281105990783,0.010812901868878072,1.2231782945736434,1,1
frozenset({'0BH17EZ'}),frozenset({'02HV33Z'}),0.013565891472868217,0.015503875968992248,0.007751937984496124,0.5714285714285714,36.857142857142854,0.007541614085691965,2.297157622739018,1,1
frozenset({'02HV33Z'}),frozenset({'0BH17EZ'}),0.015503875968992248,0.013565891472868217,0.007751937984496124,0.5,36.85714285714286,0.007541614085691965,1.9728682170542635,1,1
frozenset({'B548ZZA'}),frozenset({'02HV33Z'}),0.007751937984496124,0.015503875968992248,0.007751937984496124,1.0,64.5,0.007631752899465176,inf,1,1
frozenset({'02HV33Z'}),frozenset({'B548ZZA'}),0.015503875968992248,0.007751937984496124,0.007751937984496124,0.5,64.5,0.007631752899465176,1.9844961240310077,1,1
